word,definition,example
gifted,Give qualities or abilities to.,
giggle,A foolish or nervous laugh.,
ginger,Perennial plants having thick branching aromatic rhizomes and leafy reedlike stems.,
giraffe,Tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical africa.,
girl,A young woman.,a young lady of 18
girlfriend,Any female friend.,Mary and her girlfriend organized the party
give,The elasticity of something that can be stretched and returns to its original length.,
giveaway,A gift of public land or resources for the private gain of a limited group.,
given,An assumption that is taken for granted.,
glacis,,
glad,Any of numerous plants of the genus gladiolus native chiefly to tropical and south africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated.,
glamorous/glamourous,"Having an air of allure, romance and excitement.",glamorous movie stars
glance,A quick look.,
glare,A light within the field of vision that is brighter than the brightness to which the eyes are adapted.,a glare of sunlight
glass,A brittle transparent solid with irregular atomic structure.,
glasses,Optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision.,
gleam,An appearance of reflected light.,
glee,Great merriment.,
glide,A vowellike sound that serves as a consonant.,
glimpse,A quick look.,
glint,A momentary flash of light.,
global,Involving the entire earth; not limited or provincial in scope.,global war
global warming,,
globally,Throughout the world.,this is globally significant
globe,The 3rd planet from the sun; the planet we live on.,the Earth moves around the sun
glocal,,
gloomy,Depressingly dark.,the gloomy forest
glorify,"Praise, glorify, or honor.",extol the virtues of one's children
glorious,Having or deserving or conferring glory.,a long and glorious career
glory,A state of high honor.,he valued glory above life itself
glove,The handwear used by fielders in playing baseball.,
glow,An alert and refreshed state.,
go,A time for working (after which you will be relieved by someone else).,it's my go
goal,The state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it.,the ends justify the means
goalkeeper,The soccer or hockey player assigned to protect the goal.,
goat,Any of numerous agile ruminants related to sheep but having a beard and straight horns.,
god,The supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions.,
goddess,A female deity.,
godly,Showing great reverence for god.,a godly man
gold,Coins made of gold.,
golden,Having the deep slightly brownish color of gold.,long aureate (or golden) hair
golf,A game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes.,
golfer,Someone who plays the game of golf.,
good,Benefit.,for your own good
good afternoon,,
good morning,,
good night,,
good-looking,Pleasing in appearance especially by reason of conformity to ideals of form and proportion; ; ; ; - thackeray; - lillian hellman.,a fine-looking woman
goodness,That which is pleasing or valuable or useful.,weigh the good against the bad
goods,Benefit.,for your own good
goodwill,(accounting) an intangible asset valued according to the advantage or reputation a business has acquired (over and above its tangible assets).,
gook,"Any thick, viscous matter.",
gorge,A deep ravine (usually with a river running through it).,
gorgeous,Dazzlingly beautiful.,a gorgeous Victorian gown
gorilla,Largest anthropoid ape; terrestrial and vegetarian; of forests of central west africa.,
gossip,Light informal conversation for social occasions.,
govern,Bring into conformity with rules or principles or usage; impose regulations.,We cannot regulate the way people dress
government,The organization that is the governing authority of a political unit.,the government reduced taxes
governmental,Relating to or dealing with the affairs or structure of government or politics or the state.,governmental policy
governor,The head of a state government.,
gown,"A woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions.",
